,PAIR_NAME,PAIR_ADDRESS,ASSET_NAME,COLLATERAL_NAME,ASSET_ADDRESS,COLLATERAL_ADDRESS,ASSET_DECIMALS,COLLATERAL_DECIMALS
26,USDC.e/USDT.e,0x84336C6E521368691a244c88fd4743eFab6Fd582,USDC.e,USDT.e,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xc7198437980c041c805a1edcba50c1ce5db95118,6,6
27,USDT.e/WAVAX,0x94415A25De78AFf66A8A412d9eE0802c87a380B7,USDT.e,WAVAX,0xc7198437980c041c805a1edcba50c1ce5db95118,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,6,18
28,USDT.e/MIM,0xb884d145FB02D3eF666C3b22d46b08Db3500CF98,USDT.e,MIM,0xc7198437980c041c805a1edcba50c1ce5db95118,0x130966628846bfd36ff31a822705796e8cb8c18d,6,18
29,DAI/AAVE,0xBA1d5eB364907DE7F96282A61642B53738174D38,DAI,AAVE,0xba7deebbfc5fa1100fb055a87773e1e99cd3507a,0x8ce2dee54bb9921a2ae0a63dbb2df8ed88b91dd9,18,18
30,WBTC/WAVAX,0xd6ddc1c6Ef3af255CfE298d71E5bB5Fcb0267411,WBTC,WAVAX,0x408d4cd0adb7cebd1f1a1c33a0ba2098e1295bab,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,8,18
31,DAI/MIM,0xf2480801293f42810E0ffa59a3ad3A8352C01C61,DAI,MIM,0xba7deebbfc5fa1100fb055a87773e1e99cd3507a,0x130966628846bfd36ff31a822705796e8cb8c18d,18,18
32,AAVE/WAVAX,0x15166030894dc4A6eff405560a5D8c998FC521bc,AAVE,WAVAX,0x8ce2dee54bb9921a2ae0a63dbb2df8ed88b91dd9,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
33,LINK/WAVAX,0x3878d0CBf27Cc1187B0Cf920A17cF252f08c981c,LINK,WAVAX,0xb3fe5374f67d7a22886a0ee082b2e2f9d2651651,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
34,LINK/WETH,0x74590122C057e55c3891D21484b1Fc624b0965aF,LINK,WETH,0xb3fe5374f67d7a22886a0ee082b2e2f9d2651651,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,18,18
35,LINK/USDC.e,0x795167fB9872FdA4d552e3Ef8945C8ecaA0144c2,LINK,USDC.e,0xb3fe5374f67d7a22886a0ee082b2e2f9d2651651,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,18,6
36,AAVE/WETH,0x9dD167c381b890d1E0Cc5A2c0b5FAA57136b44E5,AAVE,WETH,0x8ce2dee54bb9921a2ae0a63dbb2df8ed88b91dd9,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,18,18
37,JOE/WAVAX,0xc7F767328F05F95a6dBcFF939509D68121Cf203e,JOE,WAVAX,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
