,POOL_NAME,POOL_ADDRESS
75,WAVAX/Rex,0x34371a41b4c236a17ed85689dced682037e69cf5
76,DAWE/WAVAX,0xd312e3dbf9de7fa7e78bb54316f3c396b0793503
77,YSOT/WAVAX,0x4b1a5926c464343b470f1d0a297f1f415096fb5f
78,TURI/USDC.e,0xe29fb1242098d3574aeb733ab0a4357b03b8230c
79,AAVE.e/WAVAX,0x5fbe35bf97f54ec7ca95edbc8dfaeb21514739a7
80,VERS/DAI.e,0x8f2473319c6ab8bfeac00b2fcc8fb7d0091a9423
81,USDT.e/MINDAUGAS,0x2ae44ebd41eb863da65b320ab7b8688c6f43c156
82,LOB/WAVAX,0x1ddcd23da377dcba6a3ee6a48b38c91163dc415d
83,GREEN/WAVAX,0x21fa534b7c81ce348af5af8974509fff431078d4
84,SUSHI.e/BSGG,0x20db83f261dd78f656d47e49f6ba94d05acd9404
85,LOK/WAVAX,0xf7ec52ce066c8285a2fdf62cc5938b555603732b
86,/USDT.e,0x4c55851a051f3ae6f6f327c18fe578e52c5c9cfe
87,WAVAX/LIRA,0x900052a3cd0738c4a48c24777d5899afc4ae6614
88,WETH.e/USDT.e,0x96f08adde31aa73c0134f5647d6dcdaa19faac7d
89,LOVE/WAVAX,0x1b11ca267dbc990f728b0b17b3edbfd92e521b27
90,PNG/WAVAX,0xa1708efd71e516a2d0ebd7ec8d877c02d4d2de6d
91,WAVAX/BRIDGE,0x3f309dd3d9b8448276f7ee768ae22a28d4b27e29
92,wMEMO/SPELL,0x9501a14d772f1aa8aa4fdb042549fe7bef0fd319
93,WAVAX/CRACK,0x7fc59de025072756f5c382b157110f94e960019a
94,MIM/GRAPE,0x509210daeca3fa714702becccba4dffacc8e7ef5
95,SAITAMA/WAVAX,0x9bc78a8c926bbfb54f5d34bdb2f4f517e48b6e13
96,EVDC/WAVAX,0x58a21026799d1bf3b968a15383db05f61e2bac43
97,SUSHI.e/WETH.e,0xe943e645c98962119e069f70aec325e22ac3741a
98,sSPELL/WAVAX,0x1538d42faa3ffbe055a3a0e75ae616c303f2cea5
99,SIPLEAN/DAI.e,0x5acc681537336c637a5cb063450f4e96391aaf85
100,ZERO/WAVAX,0x787be602db491e23b9c278673660bbed437f7898
101,WBTC.e/USDT.e,0x219eecb04ff04af03e240118d0784e368ee0436f
102,WETH.e/GTPS,0xd684802c2eefbacea3809805da517fed9a238a5c
103,AAVE.e/DAI.e,0x865e0fdb87175ba6f5e8e8b0a07c75bb193f1d07
104,USDC.e/MU,0x1aaa28a4b6aacad1ee55b6e44d6b557976235724
105,BSGG/USDT.e,0xe9b119fd58b0c30ed6460c6293d36f54dda68a39
106,STBL/WAVAX,0x3a9118436e893e7044762ef2085fde1698c223ab
107,MIM/WINE,0x090313f16e1bd2ee9ecfdc047c27832c248a2ba4
108,$NFG/WAVAX,0xb5cec7c5896f790a8d7c5588662d2a0eefe4726c
109,KIOO/WAVAX,0x622539d512d66e0feb890e88e0f4f8f4cf8b212f
110,SMRTr/WAVAX,0x974374410f36841e8420c25e3db6d097d3a8aa04
111,LOA/WAVAX,0x78c13e7549b56503dc11a1dbec284ac01ea24e32
112,CROWN/USDC.e,0x6d1ec26876aabb159ed235ccb8aac4848fba26c0
113,WAVAX/FAE,0x7223aaf122c5e206dfda6b18f4eafbd539d94fef
114,wMEMO/SLP,0xd09eb71f553400164c56ccdd22f7f6e07707793a
115,TAC/WAVAX,0xb6a3ae0d42e92a5ddf8eff130b71b1eeece14a4d
116,WAVAX/Rex2,0xdfa9246ea4cf0c5c1c680d0a2ba9ce085e4af594
117,WAVAX/TEST,0x3026eee7df0c3376663405b525981a44db3266bd
118,PLEB/WAVAX,0x03ab5800f69e8741119bc2dbb8ae6bdf65f59743
119,KITSU/WAVAX,0x13f1b8050b7680e0f83d02a1fbda02d30fdf0b60
120,KITSU/WAVAX,0xec7b51ebf3957b31b4a41db857a6c3ca5b5de383
121,INU/WAVAX,0x028da43daba6c2e624ec70fb51f109edd4a9ff5f
122,WAVAX/Rex2,0x4dc85c4fcfa2e9ff11fa7f6b4003ab96d758b5d6
123,WAVAX/CLY,0xac6e3ed880c2cfc8224ac6062577edc393a7480f
124,WAVAX/SLP,0xcdf9563bc8c3384af24f373f4800ef713103aca9
125,TITS/WAVAX,0x2baf212196b0e85946cca6e9f1b219431d4b9d06
126,BUNIV/WAVAX,0xf3c18b71080defee88afbf957e1ed468a03b8d53
127,YAW100/WAVAX,0x041290b3571518de62c6b91f06c144c7a8d9f30a
128,WAVAX/BOB,0x37b473780f7f69892629b6b59d5939d40dd2b032
129,VDZY/WAVAX,0x5fc64d152a18db272b1b3d4b01f51a92186c4dac
130,ACME/USDT.e,0x37adc4f9f585d20a844ec018e541759eba11656c
131,t/WAVAX,0x9ae33cb6e78aeeb65b839c3076616562bb568f71
132,MIM/PENDLE,0x8e0ba7c64e2e69c56cba9f59a37884559a1b7409
133,FVAX/WAVAX,0xbaaed274b088e3bd4e30fea26519ed7d23b7c7c6
134,CRA/WAVAX,0xc873c6f57f7304a840b2341778e6ff0df6a0b7b9
135,WETH.e/GFI,0xd597af6297b89fe8631198e4bccae7af6612cd18
136,ISA/WAVAX,0x204e814dd86de92f4148733d68ed88300fc50f89
